equipmentId,year,s,pf,ambient_bias,heatRunTest_deltaTopOil,heatRunTest_deltaHotspot,heatRunTest_x,heatRunTest_y,heatRunTest_h,MAE,RMSE,Bias,R2,n
24917,2024,5.036357374098548e-07,0.9999999999836809,1.9799999999999995,74.29573349683656,57.782520707960856,0.6000003321010745,1.6682959169847835,1.1232307532397612,3.6970700529732805,4.726596051985032,-0.12696960463315443,0.38336176841492753,14664
24917,1997,0.0,1.0,0.0,54.8,72.0,0.73,1.4,1.3,4.737508713336393,5.781922544447535,-1.5732982551534136,0.07726283982702198,14664
33291,2024,3.7712596383089844e-09,0.9999999131988129,1.9799999999999998,79.99999868736688,53.869057589422816,0.6370827623690508,1.736098700019018,1.1862687302360915,2.2285102085159614,2.788943167894756,-0.04590488601431861,0.7135411366672788,14664
33291,1998,0.0,1.0,0.0,47.9,65.4,0.74,1.43,1.3,6.079759353714199,6.772061434641364,-6.000365133537553,-0.6889808051820201,14664
5004597,2024,0.09975029675574186,0.9211842847098317,1.9799999999999984,60.53962166079668,35.97591818495195,0.6000000116258356,2.1608077031889485,1.264023623221827,2.4471274013376108,3.6888790643528817,-0.3267713303676515,0.6369288325781595,14664
5004597,2001,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,2.870896387484958,4.253589330448526,-1.8763935344814813,0.5172591594532627,14664
5004625,2024,0.24999999999999997,0.800000000411195,1.9799999999999995,65.85080369525971,27.450292765989246,0.60000104779407,2.1835616460794234,1.463128802691919,2.5979653753997574,3.9049745201563937,-0.24621875235281626,0.6297967151524676,14664
5004625,2001,0.0,1.0,0.0,48.9,65.7,0.62,1.98,1.3,3.081849102951487,4.448062809240475,-1.9279424062463928,0.5196633982197425,14664
5017843,2024,6.460666768171028e-07,0.9999999397065443,-1.9800000000000002,61.9335538598865,64.26414500204942,0.7085941405310976,0.8000000006852377,1.025597813827965,1.7102614448109432,2.192043016002841,-0.02427657489277442,0.8731369638097464,14664
5017843,2005,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,5.3513484069639485,5.765622152884834,-5.330528353407116,0.12233392464844728,14664
5017873,2024,0.00027622426412202844,0.9345503551177692,1.9799999999999995,51.78691487206869,40.67717082200217,0.6000161079474103,2.19998564739376,1.1445571199835207,2.1027698399706707,2.6930123788416673,-0.040368451836190394,0.720942027738253,14664
5017873,2004,0.0,1.0,0.0,45.4,60.8,0.9,1.6,1.35,5.711494203676934,6.2758684303035785,-5.661650577371349,-0.5155329928818477,14664
5025312,2024,2.7708976258701875e-11,0.9999999999995552,-1.9799999999999995,79.99999825529616,52.01605184788561,0.6000000000350965,1.4082642190143833,1.2343320765313581,2.146566918219195,2.6517778558999843,-0.096761130770569,0.77980646013266,14664
5025312,2007,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,4.933581171232843,5.728841133143322,-4.843098085340972,-0.027694073281786302,14664
5026188,2024,1.5779809074760641e-06,0.999999988307486,1.98,74.04735988200815,47.401648769981605,0.6000005874170355,2.1432022690779404,1.256658009544354,2.14325842889927,2.6926247227064724,-0.0479236252267767,0.6940061959856272,14664
5026188,2006,0.0,1.0,0.0,49.4,71.9,0.79,1.39,1.3,6.175639064701247,6.8396954455900865,-6.080098792155109,-0.9743970927366776,14664
5027447,2024,3.2442087767091834e-09,0.8232876555495766,-1.9799999999999998,79.99999913308905,41.54341728487496,0.6000000030968826,2.076437246406268,1.3329957310410439,4.181242790836175,6.489878528023641,-0.8092878867285743,0.27326837231046375,14664
5027447,2007,0.0,1.0,0.0,46.7,63.0,0.9,1.6,1.09,13.087093426811434,14.35594535778994,-12.82365222598761,-2.556022648200472,14664
5030256,2024,6.529111881332614e-10,0.9999999999999789,-1.9800000000000004,9.78550139354745,71.83747683751545,0.6000000000000009,0.8000000014268602,1.0829808656815862,5.481603551283435,6.851072070680108,-1.065122668961107,-0.014861233458293155,14664
5030256,2007,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,12.441483987553202,13.941920699829632,-12.32449951001153,-3.202762101374492,14664
50033827,2024,2.588591922653818e-11,0.8000005441756548,-1.9799999999999993,79.9999999863544,54.718610784723346,0.6000000000000001,2.1459813935982126,1.345908334764556,3.2928466937362697,4.057726608540112,-0.13994590203025595,0.4397201925128511,14664
50033827,2008,0.0,1.0,0.0,54.1,67.4,0.73,1.48,1.13,9.57691986195348,10.420192300099295,-9.557369511619347,-2.694799468954338,14664
50249457,2024,2.2642951355012562e-09,0.9999999979881358,-1.98,62.35361838888684,73.31818841347057,0.6000000000053638,0.8000000261931735,1.097034765932233,4.489504080181518,5.462242540436833,-0.5589824215947503,0.5017216389935353,14664
50249457,2011,0.0,1.0,0.0,51.9,67.7,0.66,1.34,1.1,7.61933732320644,8.899492525945051,-6.987040629592726,-0.3226975590104886,14664
50250035,2024,2.0836692155726055e-09,0.9999999999975366,-1.9800000000000002,79.99999952819103,83.04343592844913,0.600000002138428,0.8000000520585249,1.1962039847326433,3.270249582317297,4.781490138309371,-1.1734663301580313,0.5119910726215804,14664
50250035,2013,0.0,1.0,0.0,51.0,70.0,0.75,1.41,1.19,10.556226273177474,11.458220557409955,-10.525468190860009,-1.8024352907098726,14664
50277055,2024,1.0381051678297007e-11,0.8342758628211309,-1.7496926134928839,79.99988260762973,63.98953538864832,0.6000000000000002,1.790887211937953,1.3377758235031867,4.485520963727217,5.753926964171276,-0.1567744764010436,0.47518642231008956,14664
50277055,2013,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,10.418234128937272,11.865488449541461,-10.292295112198817,-1.23176064093864,14664
50282127,2024,8.113920437182593e-09,0.9999999999999999,-1.9800000000000002,50.67340363541214,65.53952583073205,0.6000000000000001,0.8000000081452207,1.0376907019490702,3.8445165538122223,5.053209540841707,-0.27487569619758667,0.24781195557037794,14664
50282127,2015,0.0,1.0,0.0,46.8,62.8,0.72,1.32,1.16,6.797240291248189,8.017658096909624,-6.050854741055837,-0.8935940317771218,14664
